particle,mode,computed_mass_MeV,reference_mass_MeV,reported_error,dependency_classification,status,note
e,ARCHIVE_CANONICAL_SPECTRUM,,,0.0,copied_reference_or_canonical_table,REFERENCE_RECONSTRUCTION_NOT_DERIVATION,classification is based on source mode labels and available columns; not a physics proof
e,ARCHIVE_NOPARAMSM_ENSEMBLE,,,2.988103225417267e-06,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
mu,ARCHIVE_NOPARAMSM_ENSEMBLE,,,1.4918232000279279e-06,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
tau,ARCHIVE_NOPARAMSM_ENSEMBLE,,,7.453544980929501e-07,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
u,ARCHIVE_NOPARAMSM_ENSEMBLE,,,2.988103225348087e-06,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
d,ARCHIVE_NOPARAMSM_ENSEMBLE,,,-0.0002401613560400757,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
s,ARCHIVE_NOPARAMSM_ENSEMBLE,,,-6.890913132374505e-05,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
c,ARCHIVE_NOPARAMSM_ENSEMBLE,,,0.0,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
b,ARCHIVE_NOPARAMSM_ENSEMBLE,,,0.0,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
t,ARCHIVE_NOPARAMSM_ENSEMBLE,,,0.0,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
W,ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE,,,-0.0031775252849653712,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
Z,ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE,,,-0.0031974284721831983,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
Higgs,ARCHIVE_EXTENDED_MONOLITH_BOSON_ENSEMBLE,,,-0.0032745065696686945,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
p,ARCHIVE_EXTENDED_MONOLITH_NUCLEON_ENSEMBLE,,,0.0015186857090237781,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
n,ARCHIVE_EXTENDED_MONOLITH_NUCLEON_ENSEMBLE,,,0.0015186857090238469,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
16O,ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE,,,-0.03476422702672224,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
56Fe,ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE,,,0.003379726407857988,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
208Pb,ARCHIVE_EXTENDED_MONOLITH_BINDING_ENSEMBLE,,,-0.001712221712626012,archive_formula_execution_with_dependency_audit_required,ARCHIVE_FORMULA_USED_NUMERICALLY_DEPENDENCY_NOT_PROVEN_CLEAN,classification is based on source mode labels and available columns; not a physics proof
