source_path,line,topic,keywords,excerpt,context
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,89,tau_eigenvalue,tau,self.m_glueball_MeV = self.M0 * self.alpha_c * self.sum_tau2,"87:         # Masa glueballa
88:         self.sum_tau2 = np.sum(self.tau ** 2)
89:         self.m_glueball_MeV = self.M0 * self.alpha_c * self.sum_tau2
90:         self.m_glueball_GeV = self.m_glueball_MeV / 1000.0
91: "
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,179,tau_eigenvalue,tau,"print(f""Liczba gluonów: {len(self.tau)}"")","177:         print(""🌌 METATIME GLUON SOLVER – WYNIKI"")
178:         print(""="" * 70)
179:         print(f""Liczba gluonów: {len(self.tau)}"")
180:         print(f""Pary bliźniacze: {self.twin_pairs}"")
181:         print(f""τ gluonów: {self.tau.tolist()}"")"
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,181,tau_eigenvalue,tau,"print(f""τ gluonów: {self.tau.tolist()}"")","179:         print(f""Liczba gluonów: {len(self.tau)}"")
180:         print(f""Pary bliźniacze: {self.twin_pairs}"")
181:         print(f""τ gluonów: {self.tau.tolist()}"")
182:         print(f""Suma kwadratów τ: {self.sum_tau2:.1f}"")
183:         print(""-"" * 70)"
00_original_metatime/Metatime-main/NoParamSM/gluonsfull.py,182,tau_eigenvalue,tau,"print(f""Suma kwadratów τ: {self.sum_tau2:.1f}"")","180:         print(f""Pary bliźniacze: {self.twin_pairs}"")
181:         print(f""τ gluonów: {self.tau.tolist()}"")
182:         print(f""Suma kwadratów τ: {self.sum_tau2:.1f}"")
183:         print(""-"" * 70)
184:         print(f""α_c (pole informacji) = {self.alpha_c:.6f}"")"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,35,tau_eigenvalue,tau,"'e': 0.510998, 'mu': 105.658, 'tau': 1776.86,","33:         # PDG Baselines for reference comparison
34:         self.pdg = {
35:             'e': 0.510998, 'mu': 105.658, 'tau': 1776.86,
36:             'p': 938.272, 'n': 939.565,
37:             'W': 80377, 'Z': 91187, 'Higgs': 125100 # In MeV"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,67,mass_or_fermion,fermion,"def calculate_fermions(self, O_I):","65:         return m_w, m_z, m_h
66: 
67:     def calculate_fermions(self, O_I):
68:         """"""FERMIONIC SECTOR: Yukawa-like topological charge mapping.""""""
69:         d_oi = O_I - self.spec.O_I_REF"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,68,mass_or_fermion,Yukawa;fermion;top;yukawa,"""""""FERMIONIC SECTOR: Yukawa-like topological charge mapping.""""""","66: 
67:     def calculate_fermions(self, O_I):
68:         """"""FERMIONIC SECTOR: Yukawa-like topological charge mapping.""""""
69:         d_oi = O_I - self.spec.O_I_REF
70:         # Mass modulation via information density gradients"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,70,mass_or_fermion,mass,# Mass modulation via information density gradients,"68:         """"""FERMIONIC SECTOR: Yukawa-like topological charge mapping.""""""
69:         d_oi = O_I - self.spec.O_I_REF
70:         # Mass modulation via information density gradients
71:         e = self.pdg['e'] * math.exp(0.2 * d_oi)
72:         mu = self.pdg['mu'] * math.exp(0.1 * d_oi)"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,73,tau_eigenvalue,tau,tau = self.pdg['tau'] * math.exp(0.05 * d_oi),"71:         e = self.pdg['e'] * math.exp(0.2 * d_oi)
72:         mu = self.pdg['mu'] * math.exp(0.1 * d_oi)
73:         tau = self.pdg['tau'] * math.exp(0.05 * d_oi)
74:         return e, mu, tau
75: "
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,74,tau_eigenvalue,tau,"return e, mu, tau","72:         mu = self.pdg['mu'] * math.exp(0.1 * d_oi)
73:         tau = self.pdg['tau'] * math.exp(0.05 * d_oi)
74:         return e, mu, tau
75: 
76:     def calculate_nucleons(self, O_I, e_mass):"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,76,mass_or_fermion,mass,"def calculate_nucleons(self, O_I, e_mass):","74:         return e, mu, tau
75: 
76:     def calculate_nucleons(self, O_I, e_mass):
77:         """"""NUCLEONIC SECTOR: Baryonic mass as a spectral saturation state.""""""
78:         # Saturation factor based on the hyperbolic tangent of the info density"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,77,mass_or_fermion,mass,"""""""NUCLEONIC SECTOR: Baryonic mass as a spectral saturation state.""""""","75: 
76:     def calculate_nucleons(self, O_I, e_mass):
77:         """"""NUCLEONIC SECTOR: Baryonic mass as a spectral saturation state.""""""
78:         # Saturation factor based on the hyperbolic tangent of the info density
79:         factor = math.tanh(O_I * self.spec.IM_S1) / math.tanh(self.spec.O_I_REF * self.spec.IM_S1)"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,81,mass_or_fermion,mass;masses;top,# Proton and Neutron masses reconstructed from internal binding topology,"79:         factor = math.tanh(O_I * self.spec.IM_S1) / math.tanh(self.spec.O_I_REF * self.spec.IM_S1)
80:         
81:         # Proton and Neutron masses reconstructed from internal binding topology
82:         m_p = 938.272 * factor
83:         m_n = 939.565 * factor"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,87,mass_or_fermion,mass,"""""""NUCLEAR SECTOR: Semi-Empirical Mass Formula (Metatime variant).""""""","85: 
86:     def calculate_nuclear_stability(self, O_I, A, Z):
87:         """"""NUCLEAR SECTOR: Semi-Empirical Mass Formula (Metatime variant).""""""
88:         scale = (O_I / self.spec.O_I_REF) ** (1.0 / (1.0 + (self.spec.IM_S1/10.0)))
89:         "
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,104,tau_eigenvalue,lepton;tau,"'Leptons (MeV)': {'e': [], 'mu': [], 'tau': []},","102:         samples = self.get_oi_samples()
103:         data = {
104:             'Leptons (MeV)': {'e': [], 'mu': [], 'tau': []},
105:             'Bosons (GeV)': {'W': [], 'Z': [], 'Higgs': []},
106:             'Nucleons (MeV)': {'Proton': [], 'Neutron': []},"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,118,mass_or_fermion,fermion;tau,"e, mu, tau = self.calculate_fermions(O)","116:             
117:             # Lepton Sector
118:             e, mu, tau = self.calculate_fermions(O)
119:             data['Leptons (MeV)']['e'].append(e)
120:             data['Leptons (MeV)']['mu'].append(mu)"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextended.py,121,tau_eigenvalue,lepton;tau,data['Leptons (MeV)']['tau'].append(tau),"119:             data['Leptons (MeV)']['e'].append(e)
120:             data['Leptons (MeV)']['mu'].append(mu)
121:             data['Leptons (MeV)']['tau'].append(tau)
122:             
123:             # Baryon Sector"
00_original_metatime/Metatime-main/NoParamSM/noparamSMextendedresult.txt,10,tau_eigenvalue,tau,tau      | Mean:    1776.8603 | Std: 0.057542,"8:    e        | Mean:       0.5110 | Std: 0.000066
9:    mu       | Mean:     105.6580 | Std: 0.006843
10:    tau      | Mean:    1776.8603 | Std: 0.057542
11: 
12: >> Bosons (GeV)"
00_original_metatime/Metatime-main/NoParamSM/noparamSMresult.json,18,tau_eigenvalue,tau,"""tau"": {","16:         ""std"": 0.006871773533966165
17:       },
18:       ""tau"": {
19:         ""mean"": 1776.8580476654806,
20:         ""std"": 0.05778145208749473"
00_original_metatime/Metatime-main/NoParamSM/noparamSMresult.json,23,mass_or_fermion,quark,"""quarks"": {","21:       }
22:     },
23:     ""quarks"": {
24:       ""u"": {
25:         ""mean"": 2.159990520473858,"
00_original_metatime/Metatime-main/NoParamSM/noparamSMresult.json,75,tau_eigenvalue,lepton;tau,"""lepton_tau"": true,","73:     ""lepton_e"": true,
74:     ""lepton_mu"": true,
75:     ""lepton_tau"": true,
76:     ""16O_binding"": true
77:   }"
00_original_metatime/Metatime-main/NoParamSM/noparamSMresult.txt,7,tau_eigenvalue,tau,tau: 1776.858048 ± 0.057781 (PDG: 1776.86),"5:   e: 0.510997 ± 0.000066 (PDG: 0.5109989461)
6:   mu: 105.658142 ± 0.006872 (PDG: 105.6583745)
7:   tau: 1776.858048 ± 0.057781 (PDG: 1776.86)
8: 
9: Quarks (mean ± std) [MeV] (u,d,s shown):"
00_original_metatime/Metatime-main/NoParamSM/noparamSMresult.txt,9,mass_or_fermion,quark,"Quarks (mean ± std) [MeV] (u,d,s shown):","7:   tau: 1776.858048 ± 0.057781 (PDG: 1776.86)
8: 
9: Quarks (mean ± std) [MeV] (u,d,s shown):
10:   u: 2.159991 ± 0.000281 (PDG: 2.16)
11:   d: 4.673514 ± 0.082454 (PDG: 4.67)"
00_original_metatime/Metatime-main/NoParamSM/noparamSMresult.txt,23,tau_eigenvalue,lepton;tau,"Quick checks: {'lepton_e': True, 'lepton_mu': True, 'lepton_tau': True, '16O_binding': True}","21:   208Pb: 7.844389 ± 0.231776 (ref: 7.867)
22: 
23: Quick checks: {'lepton_e': True, 'lepton_mu': True, 'lepton_tau': True, '16O_binding': True}
24: 
25: Saved results to newsm_results/newsm_results.json"
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,11,mass_or_fermion,mass;masses,"- ensemble means and standard deviations for particle masses, nucleon masses,","9: 
10: Outputs:
11:  - ensemble means and standard deviations for particle masses, nucleon masses,
12:    and nuclear binding energies (selected nuclei).
13:  - unit-test checks (consistency with PDG within modeled uncertainty)"
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,46,tau_eigenvalue,lepton;tau,"'leptons': {'e': 0.5109989461, 'mu': 105.6583745, 'tau': 1776.86},","44: # ----------------------------
45: PDG = {
46:     'leptons': {'e': 0.5109989461, 'mu': 105.6583745, 'tau': 1776.86},
47:     'quarks': {'u': 2.16, 'd': 4.67, 's': 93.5, 'c': 1270.0, 'b': 4180.0, 't': 173000.0},
48:     'nucleons': {'p': 938.27208816, 'n': 939.56542052},"
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,47,mass_or_fermion,quark,"'quarks': {'u': 2.16, 'd': 4.67, 's': 93.5, 'c': 1270.0, 'b': 4180.0, 't': 173000.0},","45: PDG = {
46:     'leptons': {'e': 0.5109989461, 'mu': 105.6583745, 'tau': 1776.86},
47:     'quarks': {'u': 2.16, 'd': 4.67, 's': 93.5, 'c': 1270.0, 'b': 4180.0, 't': 173000.0},
48:     'nucleons': {'p': 938.27208816, 'n': 939.56542052},
49:     'binding_ref_per_nucleon': {'16O': 7.976, '56Fe': 8.79, '208Pb': 7.867}"
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,111,mass_or_fermion,Yukawa;yukawa,"def yukawa_factor(self, C: float, O_I: float) -> float:","109:         }
110: 
111:     def yukawa_factor(self, C: float, O_I: float) -> float:
112:         """"""ekspresja sprzężenia: exp(C * (O_I - O_I_ref)) — prosta, deterministyczna""""""
113:         return math.exp(C * (O_I - self.O_I_ref))"
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,147,mass_or_fermion,mass,# E_bind_ref zostanie określone później z mas referencyjnych (mass_ref),"145:         factor = math.tanh(O_I * im) / math.tanh(self.O_I_ref * im)
146:         # przy O_I = O_I_ref => factor = 1
147:         # E_bind_ref zostanie określone później z mas referencyjnych (mass_ref)
148:         return float(factor)
149: "
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,152,mass_or_fermion,mass,# Mass spectrum + nucleon construction,"150: 
151: # ----------------------------
152: # Mass spectrum + nucleon construction
153: # ----------------------------
154: class MassEngine:"
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,154,mass_or_fermion,mass,class MassEngine:,"152: # Mass spectrum + nucleon construction
153: # ----------------------------
154: class MassEngine:
155:     """"""
156:     Oblicza masy fermionów i nukleonów deterministycznie dla danej wartości O_I."
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,156,mass_or_fermion,fermion,Oblicza masy fermionów i nukleonów deterministycznie dla danej wartości O_I.,"154: class MassEngine:
155:     """"""
156:     Oblicza masy fermionów i nukleonów deterministycznie dla danej wartości O_I.
157:     Masy referencyjne pochodzą z PDG; modulujemy je przez topologiczne czynniki exp(C*ΔO_I).
158:     """""""
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,163,tau_eigenvalue,tau,"'e': 0.2, 'mu': 0.1, 'tau': 0.05,","161:         # topologiczne C dla cząstek (przykład, zgodne z Twoim formalizmem)
162:         self.C = {
163:             'e': 0.2, 'mu': 0.1, 'tau': 0.05,
164:             'u': 0.2, 'd': -27.13, 's': -5.0,
165:             'c': 0.0, 'b': 0.0, 't': 0.0"
00_original_metatime/Metatime-main/NoParamSM/noparamSMsolver.py,167,mass_or_fermion,lepton;mass;quark,"self.mass_ref = {**PDG['leptons'], **PDG['quarks']}  # referencje","165:             'c': 0.0, 'b': 0.0, 't': 0.0
166:         }
167:         self.mass_ref = {**PDG['leptons'], **PDG['quarks']}  # referencje
168: 
169:     def fermion_mass(self, particle: str, O_I: float) -> float:"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/Fij_toy_S2_delta_theta.csv,1,tau_eigenvalue,tau,",e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3","1: ,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
2: e,1.0,1.002358972497844,1.0047235097469331,0.9988225964390275,0.9981168198209383,1.000942922067836,1.0094693310381957,1.0142375692625847,1.0190283303067023,0.9976465791572003,1.0,1.002358972497844
3: mu,0.9976465791572003,1.0,1.002358972497844,0.9964719465223085,0.9957678308936226,0.9985872821325888,1.0070936248743632,1.0118506414275314,1.0166301277947551,0.9952986969040639,0.9976465791572003,1.0"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/Fij_toy_S2_delta_theta.csv,4,tau_eigenvalue,tau,"tau,0.9952986969040639,0.9976465791572003,1.0,0.9941268286740976,0.9934243701258081,0.9962371860094632,1.0047235097469331,1.0094693310381957,1.0142375692625847,0.9929563402059584,0.9952986969040639,0.9976465791572003","2: e,1.0,1.002358972497844,1.0047235097469331,0.9988225964390275,0.9981168198209383,1.000942922067836,1.0094693310381957,1.0142375692625847,1.0190283303067023,0.9976465791572003,1.0,1.002358972497844
3: mu,0.9976465791572003,1.0,1.002358972497844,0.9964719465223085,0.9957678308936226,0.9985872821325888,1.0070936248743632,1.0118506414275314,1.0166301277947551,0.9952986969040639,0.9976465791572003,1.0
4: tau,0.9952986969040639,0.9976465791572003,1.0,0.9941268286740976,0.9934243701258081,0.9962371860094632,1.0047235097469331,1.0094693310381957,1.0142375692625847,0.9929563402059584,0.9952986969040639,0.9976465791572003
5: u,1.001178791474252,1.0035405447087642,1.0059078692542034,1.0,0.9992933914184507,1.0021228250505825,1.0106592848791425,1.0154331438620976,1.020229552214489,0.9988225964390275,1.001178791474252,1.0035405447087642
6: d,1.0018867332376982,1.0042501564873605,1.0066191549874695,1.000707108230293,1.0,1.0028314343479403,1.0113739303775025,1.0161511649954347,1.020950964927648,0.9995288721175721,1.0018867332376982,1.0042501564873605"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/Fij_toy_S2_directional.csv,1,tau_eigenvalue,tau,",e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3","1: ,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
2: e,1.0,1.00235897,1.00472351,0.9988226,0.99811682,1.00094292,1.00946933,1.01423757,1.01902833,0.99764658,1.0,1.00235897
3: mu,0.99764658,1.0,1.00235897,0.99647195,0.99576783,0.99858728,1.00709362,1.01185064,1.01663013,0.9952987,0.99764658,1.0"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/Fij_toy_S2_directional.csv,4,tau_eigenvalue,tau,"tau,0.9952987,0.99764658,1.0,0.99412683,0.99342437,0.99623719,1.00472351,1.00946933,1.01423757,0.99295634,0.9952987,0.99764658","2: e,1.0,1.00235897,1.00472351,0.9988226,0.99811682,1.00094292,1.00946933,1.01423757,1.01902833,0.99764658,1.0,1.00235897
3: mu,0.99764658,1.0,1.00235897,0.99647195,0.99576783,0.99858728,1.00709362,1.01185064,1.01663013,0.9952987,0.99764658,1.0
4: tau,0.9952987,0.99764658,1.0,0.99412683,0.99342437,0.99623719,1.00472351,1.00946933,1.01423757,0.99295634,0.9952987,0.99764658
5: u,1.00117879,1.00354054,1.00590787,1.0,0.99929339,1.00212283,1.01065928,1.01543314,1.02022955,0.9988226,1.00117879,1.00354054
6: d,1.00188673,1.00425016,1.00661915,1.00070711,1.0,1.00283143,1.01137393,1.01615116,1.02095096,0.99952887,1.00188673,1.00425016"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/Fij_toy_S2_sym_abs.csv,1,tau_eigenvalue,tau,",e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3","1: ,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
2: e,1.0,1.00235897,1.00472351,1.00117879,1.00188673,1.00094292,1.00946933,1.01423757,1.01902833,1.00235897,1.0,1.00235897
3: mu,1.00235897,1.0,1.00235897,1.00354054,1.00425016,1.00141472,1.00709362,1.01185064,1.01663013,1.00472351,1.00235897,1.0"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/Fij_toy_S2_sym_abs.csv,4,tau_eigenvalue,tau,"tau,1.00472351,1.00235897,1.0,1.00590787,1.00661915,1.00377703,1.00472351,1.00946933,1.01423757,1.00709362,1.00472351,1.00235897","2: e,1.0,1.00235897,1.00472351,1.00117879,1.00188673,1.00094292,1.00946933,1.01423757,1.01902833,1.00235897,1.0,1.00235897
3: mu,1.00235897,1.0,1.00235897,1.00354054,1.00425016,1.00141472,1.00709362,1.01185064,1.01663013,1.00472351,1.00235897,1.0
4: tau,1.00472351,1.00235897,1.0,1.00590787,1.00661915,1.00377703,1.00472351,1.00946933,1.01423757,1.00709362,1.00472351,1.00235897
5: u,1.00117879,1.00354054,1.00590787,1.0,1.00070711,1.00212283,1.01065928,1.01543314,1.02022955,1.00117879,1.00117879,1.00354054
6: d,1.00188673,1.00425016,1.00661915,1.00070711,1.0,1.00283143,1.01137393,1.01615116,1.02095096,1.00047135,1.00188673,1.00425016"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/Fij_toy_S2_sym_cos.csv,1,tau_eigenvalue,tau,",e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3","1: ,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
2: e,1.00904062,1.00873123,1.00782468,1.00896293,1.00884219,1.00899087,1.00451014,1.0,0.99551011,1.00873123,1.00904062,1.00873123
3: mu,1.00873123,1.00904062,1.00873123,1.00834958,1.0080513,1.00892882,1.00638425,1.00233209,0.99767334,1.00782468,1.00873123,1.00904062"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/Fij_toy_S2_sym_cos.csv,4,tau_eigenvalue,tau,"tau,1.00782468,1.00873123,1.00904062,1.00716573,1.00671072,1.0082558,1.00782468,1.00451014,1.0,1.00638425,1.00782468,1.00873123","2: e,1.00904062,1.00873123,1.00782468,1.00896293,1.00884219,1.00899087,1.00451014,1.0,0.99551011,1.00873123,1.00904062,1.00873123
3: mu,1.00873123,1.00904062,1.00873123,1.00834958,1.0080513,1.00892882,1.00638425,1.00233209,0.99767334,1.00782468,1.00873123,1.00904062
4: tau,1.00782468,1.00873123,1.00904062,1.00716573,1.00671072,1.0082558,1.00782468,1.00451014,1.0,1.00638425,1.00782468,1.00873123
5: u,1.00896293,1.00834958,1.00716573,1.00904062,1.00901263,1.00878973,1.00345009,0.99882595,0.99453613,1.00896293,1.00896293,1.00834958
6: d,1.00884219,1.0080513,1.00671072,1.00901263,1.00904062,1.00859625,1.00278502,0.99813054,0.99399592,1.00902818,1.00884219,1.0080513"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/analysis_F_directional_full.csv,1,tau_eigenvalue,tau,",e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3","1: ,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
2: e,1.000000000000,1.002358972498,1.004723509747,0.998822596439,0.998116819821,1.000942922068,1.009469331038,1.014237569263,1.019028330307,0.997646579157,1.000000000000,1.002358972498
3: mu,0.997646579157,1.000000000000,1.002358972498,0.996471946522,0.995767830894,0.998587282133,1.007093624874,1.011850641428,1.016630127795,0.995298696904,0.997646579157,1.000000000000"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/analysis_F_directional_full.csv,4,tau_eigenvalue,tau,"tau,0.995298696904,0.997646579157,1.000000000000,0.994126828674,0.993424370126,0.996237186009,1.004723509747,1.009469331038,1.014237569263,0.992956340206,0.995298696904,0.997646579157","2: e,1.000000000000,1.002358972498,1.004723509747,0.998822596439,0.998116819821,1.000942922068,1.009469331038,1.014237569263,1.019028330307,0.997646579157,1.000000000000,1.002358972498
3: mu,0.997646579157,1.000000000000,1.002358972498,0.996471946522,0.995767830894,0.998587282133,1.007093624874,1.011850641428,1.016630127795,0.995298696904,0.997646579157,1.000000000000
4: tau,0.995298696904,0.997646579157,1.000000000000,0.994126828674,0.993424370126,0.996237186009,1.004723509747,1.009469331038,1.014237569263,0.992956340206,0.995298696904,0.997646579157
5: u,1.001178791474,1.003540544709,1.005907869254,1.000000000000,0.999293391418,1.002122825051,1.010659284879,1.015433143862,1.020229552214,0.998822596439,1.001178791474,1.003540544709
6: d,1.001886733238,1.004250156487,1.006619154987,1.000707108230,1.000000000000,1.002831434348,1.011373930378,1.016151164995,1.020950964928,0.999528872118,1.001886733238,1.004250156487"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/analysis_F_sym_abs_full.csv,1,tau_eigenvalue,tau,",e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3","1: ,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
2: e,1.000000000000,1.002358972498,1.004723509747,1.001178791474,1.001886733238,1.000942922068,1.009469331038,1.014237569263,1.019028330307,1.002358972498,1.000000000000,1.002358972498
3: mu,1.002358972498,1.000000000000,1.002358972498,1.003540544709,1.004250156487,1.001414716463,1.007093624874,1.011850641428,1.016630127795,1.004723509747,1.002358972498,1.000000000000"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/analysis_F_sym_abs_full.csv,4,tau_eigenvalue,tau,"tau,1.004723509747,1.002358972498,1.000000000000,1.005907869254,1.006619154987,1.003777026238,1.004723509747,1.009469331038,1.014237569263,1.007093624874,1.004723509747,1.002358972498","2: e,1.000000000000,1.002358972498,1.004723509747,1.001178791474,1.001886733238,1.000942922068,1.009469331038,1.014237569263,1.019028330307,1.002358972498,1.000000000000,1.002358972498
3: mu,1.002358972498,1.000000000000,1.002358972498,1.003540544709,1.004250156487,1.001414716463,1.007093624874,1.011850641428,1.016630127795,1.004723509747,1.002358972498,1.000000000000
4: tau,1.004723509747,1.002358972498,1.000000000000,1.005907869254,1.006619154987,1.003777026238,1.004723509747,1.009469331038,1.014237569263,1.007093624874,1.004723509747,1.002358972498
5: u,1.001178791474,1.003540544709,1.005907869254,1.000000000000,1.000707108230,1.002122825051,1.010659284879,1.015433143862,1.020229552214,1.001178791474,1.001178791474,1.003540544709
6: d,1.001886733238,1.004250156487,1.006619154987,1.000707108230,1.000000000000,1.002831434348,1.011373930378,1.016151164995,1.020950964928,1.000471349949,1.001886733238,1.004250156487"
00_original_metatime/Metatime-main/data/2026/01/Standard Model/analysis_F_sym_cos_full.csv,1,tau_eigenvalue,tau,",e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3","1: ,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
2: e,1.009040621774,1.008731229188,1.007824682705,1.008962932423,1.008842191660,1.008990874329,1.004510140205,1.000000000000,0.995510109830,1.008731229188,1.009040621774,1.008731229188
3: mu,1.008731229188,1.009040621774,1.008731229188,1.008349580717,1.008051297486,1.008928821288,1.006384254056,1.002332086499,0.997673339474,1.007824682705,1.008731229188,1.009040621774"
